model,session_key,run_id,broad_no,minute_rank,family_consensus_score,reason_set,flagged_by_model
03,44_18425875,44,18425875,7,0.9443610276943613,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,False
03,170_19136674,170,19136674,9,0.9346012679346012,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,False
03,33_18360739,33,18360739,10,0.9344344344344344,high_interval_anomaly;high_rolling_chat_deficit;high_unique_deficit,False
03,40_18407163,40,18407163,11,0.9275108441775108,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,101_18815637,101,18815637,13,0.9252585919252584,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,False
03,116_18871419,116,18871419,14,0.9250083416750084,high_chat_deficit;high_interval_anomaly;high_rolling_chat_deficit,False
03,158_19084599,158,19084599,15,0.9230063396730064,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,136_18981954,136,18981954,17,0.9132465799132464,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,167_19122020,167,19122020,19,0.9038204871538206,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,False
03,150_19046555,150,19046555,21,0.9022355689022352,high_rolling_chat_deficit;high_rolling_zero_rate;long_zero_run,False
03,38_18394862,38,18394862,23,0.8993159826493159,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,102_18815637,102,18815637,28,0.8894728061394729,high_interval_anomaly;high_rolling_chat_deficit;high_rolling_zero_rate,False
03,163_19099748,163,19099748,35,0.8828828828828829,high_rolling_chat_deficit;high_rolling_zero_rate;long_zero_run,False
03,117_18883779,117,18883779,37,0.8787120453787121,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,116_18876545,116,18876545,39,0.8747914581247914,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,False
03,109_18848742,109,18848742,40,0.8731231231231232,high_chat_deficit;high_interval_anomaly;high_rolling_chat_deficit,False
03,161_19098168,161,19098168,43,0.8656990323656989,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,115_18872391,115,18872391,46,0.8642809476142809,high_chat_deficit;high_interval_anomaly;high_rolling_chat_deficit,False
03,167_19115161,167,19115161,49,0.8597764431097764,high_rolling_chat_deficit;high_rolling_zero_rate;long_zero_run,False
03,136_18984345,136,18984345,50,0.8551885218551886,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,154_19066155,154,19066155,52,0.8541875208541875,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,False
03,171_19132569,171,19132569,56,0.8521021021021021,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,False
03,162_19099591,162,19099591,61,0.8486820153486819,high_rolling_chat_deficit;high_unique_deficit;long_zero_run,False
03,150_19045958,150,19045958,70,0.8429262595929262,high_interval_anomaly;high_rolling_chat_deficit;high_unique_deficit,False
03,158_19085292,158,19085292,72,0.841675008341675,high_interval_anomaly;high_rolling_chat_deficit;high_rolling_zero_rate,False
03,161_19098177,161,19098177,75,0.8404237570904237,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,104_18824610,104,18824610,78,0.839673006339673,high_interval_anomaly;high_rolling_chat_deficit;high_unique_deficit,False
03,83_18703385,83,18703385,79,0.8392559225892559,high_chat_deficit;high_rolling_chat_deficit;high_unique_deficit,False
03,103_18819619,103,18819619,81,0.8378378378378378,high_chat_deficit;high_interval_anomaly;high_rolling_chat_deficit,False
03,151_19051879,151,19051879,83,0.8373373373373373,high_rolling_chat_deficit;high_unique_deficit;long_zero_run,False
