model,session_key,run_id,broad_no,review_group,model_rank,minute_rank,rank_gap,minute_top_same_n,score_consensus,cluster_aware_review_group,score_cluster_aware_consensus,advanced_binary_review_group,score_advanced_binary_consensus,discovery_group,hidden_candidate_priority,unsupervised_hidden_score,pu_discovery_group,pu_priority,pu_positive_score
03,45_18426196,45,18426196,anomaly_only_review,885,1954,1069,False,0.4805015353121801,,,,,,,,,,
03,168_19128378,168,19128378,anomaly_only_review,925,1952,1027,False,0.4720061412487205,,,,,,,,,,
03,86_18729587,86,18729587,anomaly_only_review,622,1950,1328,False,0.5466223132036847,,,,,,,,,,
03,140_18998110,140,18998110,anomaly_only_review,527,1947,1420,False,0.5819344933469806,,,,,,,,,,
03,167_19123681,167,19123681,anomaly_only_review,605,1938,1333,False,0.5527635619242579,,,,,,,,,,
03,155_19069811,155,19069811,anomaly_only_review,1061,1933,872,False,0.4433469805527124,,,,,,,,,,
03,147_19033372,147,19033372,anomaly_only_review,835,1924,1089,False,0.4877686796315251,,,,,,,,,,
03,104_18827591,104,18827591,anomaly_only_review,967,1918,951,False,0.4637154554759468,,,,,,,,,,
03,103_18823727,103,18823727,anomaly_only_review,1042,1917,875,False,0.4466223132036847,,,,,,,,,,
03,151_19051079,151,19051079,anomaly_only_review,897,1910,1013,False,0.477021494370522,,,,,,,,,,
03,159_19087513,159,19087513,anomaly_only_review,864,1906,1042,False,0.4826509723643807,,,,,,,,,,
03,106_18838035,106,18838035,anomaly_only_review,580,1904,1324,False,0.5632036847492323,,,,,,,,,,
03,120_18893406,120,18893406,anomaly_only_review,972,1872,900,False,0.462589559877175,,,,,,,,,,
03,104_18822718,104,18822718,anomaly_only_review,953,1868,915,False,0.4665813715455476,,,,,,,,,,
03,98_18800795,98,18800795,anomaly_only_review,799,1862,1063,False,0.4984135107471852,,,,,,,,,,
03,167_19123306,167,19123306,anomaly_only_review,952,1861,909,False,0.4666837256908905,,,,,,,,,,
03,160_19086033,160,19086033,anomaly_only_review,939,1858,919,False,0.4700614124872057,,,,,,,,,,
03,156_19069696,156,19069696,anomaly_only_review,1028,1854,826,False,0.451740020470829,,,,,,,,,,
03,168_19124845,168,19124845,anomaly_only_review,829,1851,1022,False,0.4888433981576254,,,,,,,,,,
03,122_18903290,122,18903290,anomaly_only_review,880,1847,967,False,0.4810133060388946,,,,,,,,,,
03,144_19017020,144,19017020,anomaly_only_review,916,1831,915,False,0.473439099283521,,,,,,,,,,
03,156_19070504,156,19070504,anomaly_only_review,620,1806,1186,False,0.5478505629477994,,,,,,,,,,
03,143_19014881,143,19014881,anomaly_only_review,1009,1797,788,False,0.4547082906857728,,,,,,,,,,
03,148_19031472,148,19031472,anomaly_only_review,927,1792,865,False,0.4712896622313203,,,,,,,,,,
03,41_18408587,41,18408587,anomaly_only_review,731,1775,1044,False,0.5176560900716479,,,,,,,,,,
03,140_18997352,140,18997352,anomaly_only_review,1017,1705,688,False,0.4533265097236437,,,,,,,,,,
03,142_19013351,142,19013351,anomaly_only_review,754,1682,928,False,0.510388945752303,,,,,,,,,,
03,148_19031158,148,19031158,anomaly_only_review,606,1679,1073,False,0.5525588536335722,,,,,,,,,,
