session_key,run_id,broad_no,review_order,rra_p,rra_q,raw_rra_p,raw_rra_q,scan_interval_rank,empirical_p_rank,interval_duration_rank,scan_strength_rank,expected_response_rank,state_dwell_rank,interval_anomaly_rank,reason_rank,reason_support_rank,scan_family_rank,persistence_family_rank,expected_response_family_rank,minute_state_family_rank,interval_anomaly_family_rank,reason_support_family_rank,scan_family_strength,persistence_family_strength,expected_response_family_strength,minute_state_family_strength,interval_anomaly_family_strength,reason_support_family_strength,family_consensus_score,family_rra_p,family_rra_q,evidence_family_count,ranking_method,evidence_repetition_score,evidence_count,n_session_minutes,eligible_review,review_qc_reason,all_zero_session,v_qc,top_interval_start,top_interval_end,top_interval_duration,observed_scan_z,empirical_p,dominant_reason,reason_set,review_note
150_19046938,150,19046938,1,9.516611833446151e-07,0.0002734621588699936,6.98769396873367e-07,0.00034886062138902855,2.0,507.0,127.0,7.0,147.0,13.0,70.0,93.0,93.0,2.0,15.0,147.0,51.0,70.0,93.0,0.998998998998999,0.9924924924924925,0.9264264264264265,0.9744744744744744,0.964964964964965,0.9534534534534534,0.9684684684684685,9.516611833446151e-07,0.0002734621588699936,6,equal_weight_family_consensus_plus_family_rra,0.9395645645645645,8,121,True,eligible,False,0,2026-05-23 17:00:00,2026-05-23 18:58:00,119,19.12598090516309,0.0049751243781094,long_zero_run,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.9685, persistence evidence rank=15, adaptive scan family rank=2, expected-response deficit rank=147, minute-state mismatch rank=51, top interval duration=119min, high interval anomaly, high rolling chat deficit, long zero run, interval profile 보조 근거 포함."
160_19085934,160,19085934,2,3.5156044393916348e-09,7.020662065465095e-06,4.369491352662209e-11,8.725874231266432e-08,1.0,628.0,533.0,3.0,5.0,337.0,5.0,5.0,5.0,1.0,256.0,5.0,134.0,5.0,5.0,0.9994994994994995,0.8718718718718719,0.9974974974974975,0.9329329329329329,0.9974974974974975,0.9974974974974975,0.9661327994661328,3.5156044393916348e-09,7.020662065465095e-06,6,equal_weight_family_consensus_plus_family_rra,0.9050925925925926,8,119,True,eligible,False,0,2026-05-25 23:47:00,2026-05-26 00:37:00,51,24.72342166000928,0.0049751243781094,long_zero_run,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.9661, persistence evidence rank=256, adaptive scan family rank=1, expected-response deficit rank=5, minute-state mismatch rank=134, top interval duration=51min, high interval anomaly, high rolling chat deficit, long zero run, interval profile 보조 근거 포함."
157_19082917,157,19082917,3,3.428533979426138e-07,0.00020211972777991723,1.1475032014509163e-05,0.0014165375028742067,8.0,599.0,241.0,23.0,124.0,98.0,76.0,73.0,73.0,8.0,61.0,124.0,85.0,76.0,73.0,0.995995995995996,0.9694694694694694,0.9379379379379379,0.9574574574574575,0.9619619619619619,0.9634634634634635,0.9643810477143809,3.428533979426138e-07,0.00020211972777991723,6,equal_weight_family_consensus_plus_family_rra,0.9222972972972973,8,121,True,eligible,False,0,2026-05-25 15:23:00,2026-05-25 17:00:00,98,15.6882883797763,0.0049751243781094,high_rolling_chat_deficit,high_interval_anomaly;high_rolling_chat_deficit;high_unique_deficit,"수동 검토 우선순위 근거: family consensus score=0.9644, persistence evidence rank=61, adaptive scan family rank=8, expected-response deficit rank=124, minute-state mismatch rank=85, top interval duration=98min, high interval anomaly, high rolling chat deficit, high unique deficit, interval profile 보조 근거 포함."
118_18883798,118,18883798,4,2.1417070516033346e-05,0.0019623998368374944,4.364170827860488e-07,0.00029799410726576186,7.0,230.0,141.0,21.0,247.0,80.0,107.0,150.0,150.0,7.0,32.0,247.0,79.0,107.0,150.0,0.9964964964964965,0.983983983983984,0.8763763763763763,0.9604604604604605,0.9464464464464465,0.924924924924925,0.9481147814481149,2.1417070516033346e-05,0.0019623998368374944,6,equal_weight_family_consensus_plus_family_rra,0.938501001001001,8,121,True,eligible,False,0,2026-05-14 17:05:00,2026-05-14 19:00:00,116,16.181842636917825,0.0049751243781094,long_zero_run,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.9481, persistence evidence rank=32, adaptive scan family rank=7, expected-response deficit rank=247, minute-state mismatch rank=79, top interval duration=116min, high interval anomaly, high rolling chat deficit, long zero run, interval profile 보조 근거 포함."
165_19114741,165,19114741,5,7.419940449947584e-06,0.0009950680258738185,8.65318481237589e-05,0.004114383350074917,35.0,689.0,628.0,113.0,175.0,41.0,80.0,91.0,91.0,35.0,207.0,175.0,63.0,80.0,91.0,0.9824824824824825,0.8963963963963963,0.9124124124124124,0.9684684684684685,0.95995995995996,0.9544544544544544,0.9456956956956958,7.419940449947584e-06,0.0009950680258738185,6,equal_weight_family_consensus_plus_family_rra,0.8841341341341341,8,118,True,eligible,False,0,2026-05-27 16:02:00,2026-05-27 16:39:00,38,11.513114011365651,0.0049751243781094,long_zero_run,high_rolling_chat_deficit;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.9457, persistence evidence rank=207, adaptive scan family rank=35, expected-response deficit rank=175, minute-state mismatch rank=63, top interval duration=38min, high rolling chat deficit, high rolling zero rate, long zero run, interval profile 보조 근거 포함."
43_18426065,43,18426065,6,7.5606416030725114e-06,0.0009950680258738185,0.00027430176271477823,0.00912967700235687,4.0,828.0,250.0,14.0,350.0,125.0,90.0,55.0,55.0,4.0,74.0,350.0,93.0,90.0,55.0,0.997997997997998,0.962962962962963,0.8248248248248249,0.9534534534534534,0.954954954954955,0.9724724724724725,0.9444444444444445,7.5606416030725114e-06,0.0009950680258738185,6,equal_weight_family_consensus_plus_family_rra,0.8926426426426427,8,120,True,eligible,False,0,2026-04-18 17:00:00,2026-04-18 18:36:00,97,17.59037975330365,0.0049751243781094,long_zero_run,high_interval_anomaly;high_rolling_zero_rate;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.9444, persistence evidence rank=74, adaptive scan family rank=4, expected-response deficit rank=350, minute-state mismatch rank=93, top interval duration=97min, high interval anomaly, high rolling zero rate, long zero run, interval profile 보조 근거 포함."
44_18425875,44,18425875,7,2.3025994631795942e-05,0.0019623998368374944,0.00024425521201373813,0.008557502778797106,26.0,833.0,561.0,89.0,115.0,271.0,69.0,87.0,87.0,26.0,250.0,115.0,120.0,69.0,87.0,0.986986986986987,0.8748748748748749,0.9424424424424425,0.93993993993994,0.9654654654654655,0.9564564564564565,0.9443610276943611,2.3025994631795942e-05,0.0019623998368374944,6,equal_weight_family_consensus_plus_family_rra,0.8716841841841843,8,120,True,eligible,False,0,2026-04-18 20:28:00,2026-04-18 21:14:00,47,12.2237845425348,0.0049751243781094,long_zero_run,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.9444, persistence evidence rank=250, adaptive scan family rank=26, expected-response deficit rank=115, minute-state mismatch rank=120, top interval duration=47min, high interval anomaly, high rolling chat deficit, long zero run, interval profile 보조 근거 포함."
138_18992913,138,18992913,8,1.3601638905879368e-05,0.0015530554151642463,4.588854320794691e-05,0.0027769521450384843,16.0,346.0,442.0,67.0,188.0,289.0,87.0,90.0,90.0,16.0,229.0,188.0,125.0,87.0,90.0,0.991991991991992,0.8853853853853854,0.9059059059059059,0.9374374374374375,0.9564564564564565,0.954954954954955,0.9386886886886887,1.3601638905879368e-05,0.0015530554151642463,6,equal_weight_family_consensus_plus_family_rra,0.904592092092092,8,122,True,eligible,False,0,2026-05-20 17:08:00,2026-05-20 18:09:00,62,13.309690194102728,0.0049751243781094,long_zero_run,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.9387, persistence evidence rank=229, adaptive scan family rank=16, expected-response deficit rank=188, minute-state mismatch rank=125, top interval duration=62min, high interval anomaly, high rolling chat deficit, long zero run, interval profile 보조 근거 포함."
170_19136674,170,19136674,9,4.948668784138644e-05,0.0028784036071782793,6.569895019476088e-05,0.0033710969791984273,9.0,757.0,146.0,24.0,284.0,117.0,136.0,222.0,222.0,9.0,41.0,284.0,92.0,136.0,222.0,0.9954954954954955,0.9794794794794794,0.8578578578578578,0.953953953953954,0.9319319319319319,0.8888888888888888,0.9346012679346011,4.948668784138644e-05,0.0028784036071782793,6,equal_weight_family_consensus_plus_family_rra,0.8939564564564565,8,121,True,eligible,False,0,2026-05-28 17:05:00,2026-05-28 19:00:00,116,15.612170173916486,0.0049751243781094,long_zero_run,high_interval_anomaly;high_rolling_chat_deficit;long_zero_run,"수동 검토 우선순위 근거: family consensus score=0.9346, persistence evidence rank=41, adaptive scan family rank=9, expected-response deficit rank=284, minute-state mismatch rank=92, top interval duration=116min, high interval anomaly, high rolling chat deficit, long zero run, interval profile 보조 근거 포함."
33_18360739,33,18360739,10,6.219488821254321e-06,0.0009950680258738185,0.00018357742363480533,0.007475160522110252,28.0,791.0,330.0,91.0,128.0,268.0,151.0,201.0,201.0,28.0,159.0,128.0,119.0,151.0,201.0,0.985985985985986,0.9204204204204204,0.9359359359359359,0.9404404404404404,0.9244244244244244,0.8993993993993994,0.9344344344344345,6.219488821254321e-06,0.0009950680258738185,6,equal_weight_family_consensus_plus_family_rra,0.8756256256256256,8,121,True,eligible,False,0,2026-04-14 23:00:00,2026-04-15 00:20:00,81,12.178419053994425,0.0049751243781094,high_rolling_chat_deficit,high_interval_anomaly;high_rolling_chat_deficit;high_unique_deficit,"수동 검토 우선순위 근거: family consensus score=0.9344, persistence evidence rank=159, adaptive scan family rank=28, expected-response deficit rank=128, minute-state mismatch rank=119, top interval duration=81min, high interval anomaly, high rolling chat deficit, high unique deficit, interval profile 보조 근거 포함."
