score,top_k,silver_positive_in_top_k,precision_vs_silver,recall_vs_silver
score_rule_directional,20,20,1.0,0.18018018018018017
score_rule_directional,50,50,1.0,0.45045045045045046
score_rule_directional,100,88,0.88,0.7927927927927928
score_rule_directional,111,93,0.8378378378378378,0.8378378378378378
score_rule_directional,200,108,0.54,0.972972972972973
score_logistic_oof,20,20,1.0,0.18018018018018017
score_logistic_oof,50,50,1.0,0.45045045045045046
score_logistic_oof,100,100,1.0,0.9009009009009009
score_logistic_oof,111,109,0.9819819819819819,0.9819819819819819
score_logistic_oof,200,111,0.555,1.0
score_rf_oof,20,20,1.0,0.18018018018018017
score_rf_oof,50,50,1.0,0.45045045045045046
score_rf_oof,100,100,1.0,0.9009009009009009
score_rf_oof,111,110,0.990990990990991,0.990990990990991
score_rf_oof,200,111,0.555,1.0
score_iforest_raw,20,3,0.15,0.02702702702702703
score_iforest_raw,50,17,0.34,0.15315315315315314
score_iforest_raw,100,39,0.39,0.35135135135135137
score_iforest_raw,111,44,0.3963963963963964,0.3963963963963964
score_iforest_raw,200,75,0.375,0.6756756756756757
score_lof_raw,20,4,0.2,0.036036036036036036
score_lof_raw,50,10,0.2,0.09009009009009009
score_lof_raw,100,16,0.16,0.14414414414414414
score_lof_raw,111,17,0.15315315315315314,0.15315315315315314
score_lof_raw,200,27,0.135,0.24324324324324326
score_consensus,20,20,1.0,0.18018018018018017
score_consensus,50,48,0.96,0.43243243243243246
score_consensus,100,72,0.72,0.6486486486486487
score_consensus,111,76,0.6846846846846847,0.6846846846846847
score_consensus,200,111,0.555,1.0
