min_cluster_size,min_samples,n_clusters,n_noise,coverage,silhouette_non_noise
5,-1,20,388,0.8014329580348004,0.23324385119825086
5,5,20,388,0.8014329580348004,0.23324385119825086
5,10,7,441,0.7743091095189355,0.22562815859562402
8,-1,10,705,0.6392016376663255,0.28553933535994763
8,5,9,444,0.7727737973387923,0.22044784889891741
8,10,4,458,0.7656090071647902,0.22226952842057043
10,-1,4,458,0.7656090071647902,0.22226952842057043
10,5,9,444,0.7727737973387923,0.22044784889891741
10,10,4,458,0.7656090071647902,0.22226952842057043
15,-1,4,531,0.7282497441146366,0.23938660446814566
15,5,5,341,0.8254861821903787,0.17860122463664138
15,10,4,458,0.7656090071647902,0.22226952842057043
20,-1,3,603,0.6914022517911975,0.24850324850416744
20,5,5,341,0.8254861821903787,0.17860122463664138
20,10,4,458,0.7656090071647902,0.22226952842057043
30,-1,3,694,0.6448311156601843,0.2713065963329632
30,5,4,341,0.8254861821903787,0.1893282488952487
30,10,4,458,0.7656090071647902,0.22226952842057043
50,-1,2,815,0.582906857727738,0.32907285799889774
50,5,4,341,0.8254861821903787,0.1893282488952487
50,10,4,458,0.7656090071647902,0.22226952842057043
